IssueKey,IssueType,Summary,Description,Priority,Status,Assignee,Reporter,EpicLink,Sprint,StoryPoints,Labels,Created,DueDate,OriginalEstimate,TimeSpent,Components
FREQ-248,Task,Code Review for SMS para responsaveis,Task: Code Review,Low,To Do,Ana Oliveira,Joao Santos,EPIC-5,Sprint 5,,task code-review,2026-02-23,2026-03-16,4h,,Module-5
FREQ-249,Task,Documentation for SMS para responsaveis,Task: Documentation,Low,To Do,Joao Santos,Joao Santos,EPIC-5,Sprint 5,,task documentation,2026-02-23,2026-03-16,8h,,Module-5
FREQ-250,Story,Notificacao cancelamento aula,User story: Notificacao cancelamento aula,Medium,To Do,Carlos Mendes,Maria Silva,EPIC-5,Sprint 5,2,sprint-5 epic-5,2026-02-26,2026-03-16,16h,,Module-5
FREQ-251,Task,Design UI/UX for Notificacao cancelamento aula,Task: Design UI/UX,Medium,To Do,Juliana Souza,Joao Santos,EPIC-5,Sprint 5,,task design-ui/ux,2026-02-27,2026-03-16,4h,,Module-5
FREQ-252,Task,Backend Implementation for Notificacao cancelamento aula,Task: Backend Implementation,Medium,To Do,Carlos Mendes,Joao Santos,EPIC-5,Sprint 5,,task backend-implementation,2026-02-27,2026-03-16,4h,,Module-5
FREQ-253,Task,Frontend Web Implementation for Notificacao cancelamento aula,Task: Frontend Web Implementation,Medium,To Do,Beatriz Costa,Joao Santos,EPIC-5,Sprint 5,,task frontend-web-implementation,2026-02-27,2026-03-16,4h,,Module-5
FREQ-254,Task,Unit Tests for Notificacao cancelamento aula,Task: Unit Tests,Medium,To Do,Rafael Lima,Joao Santos,EPIC-5,Sprint 5,,task unit-tests,2026-02-27,2026-03-16,2h,,Module-5
FREQ-255,Task,Code Review for Notificacao cancelamento aula,Task: Code Review,Medium,To Do,Ana Oliveira,Joao Santos,EPIC-5,Sprint 5,,task code-review,2026-02-27,2026-03-16,4h,,Module-5
FREQ-256,Story,API REST para integracao,User story: API REST para integracao,Medium,To Do,Carlos Mendes,Maria Silva,EPIC-6,Sprint 6,8,sprint-6 epic-6,2026-03-11,2026-03-30,64h,,Module-6
FREQ-257,Task,Design UI/UX for API REST para integracao,Task: Design UI/UX,Medium,To Do,Juliana Souza,Joao Santos,EPIC-6,Sprint 6,,task design-ui/ux,2026-03-12,2026-03-30,4h,,Module-6
FREQ-258,Task,Backend Implementation for API REST para integracao,Task: Backend Implementation,Medium,To Do,Carlos Mendes,Joao Santos,EPIC-6,Sprint 6,,task backend-implementation,2026-03-12,2026-03-30,19h,,Module-6
FREQ-259,Task,Frontend Web Implementation for API REST para integracao,Task: Frontend Web Implementation,Medium,To Do,Beatriz Costa,Joao Santos,EPIC-6,Sprint 6,,task frontend-web-implementation,2026-03-12,2026-03-30,16h,,Module-6
FREQ-260,Task,Mobile Implementation for API REST para integracao,Task: Mobile Implementation,Medium,To Do,Pedro Almeida,Joao Santos,EPIC-6,Sprint 6,,task mobile-implementation,2026-03-12,2026-03-30,16h,,Module-6
FREQ-261,Task,Unit Tests for API REST para integracao,Task: Unit Tests,Medium,To Do,Rafael Lima,Joao Santos,EPIC-6,Sprint 6,,task unit-tests,2026-03-12,2026-03-30,9h,,Module-6
FREQ-262,Task,E2E Tests for API REST para integracao,Task: E2E Tests,Medium,To Do,Rafael Lima,Joao Santos,EPIC-6,Sprint 6,,task e2e-tests,2026-03-12,2026-03-30,9h,,Module-6
FREQ-263,Task,Code Review for API REST para integracao,Task: Code Review,Medium,To Do,Ana Oliveira,Joao Santos,EPIC-6,Sprint 6,,task code-review,2026-03-12,2026-03-30,4h,,Module-6
FREQ-264,Task,Documentation for API REST para integracao,Task: Documentation,Medium,To Do,Joao Santos,Joao Santos,EPIC-6,Sprint 6,,task documentation,2026-03-12,2026-03-30,8h,,Module-6
FREQ-265,Story,Integracao com Moodle,User story: Integracao com Moodle,Low,To Do,Beatriz Costa,Maria Silva,EPIC-6,Sprint 6,13,sprint-6 epic-6,2026-03-14,2026-03-30,104h,,Module-6
FREQ-266,Task,Design UI/UX for Integracao com Moodle,Task: Design UI/UX,Low,To Do,Juliana Souza,Joao Santos,EPIC-6,Sprint 6,,task design-ui/ux,2026-03-15,2026-03-30,4h,,Module-6
FREQ-267,Task,Backend Implementation for Integracao com Moodle,Task: Backend Implementation,Low,To Do,Carlos Mendes,Joao Santos,EPIC-6,Sprint 6,,task backend-implementation,2026-03-15,2026-03-30,31h,,Module-6
FREQ-268,Task,Frontend Web Implementation for Integracao com Moodle,Task: Frontend Web Implementation,Low,To Do,Beatriz Costa,Joao Santos,EPIC-6,Sprint 6,,task frontend-web-implementation,2026-03-15,2026-03-30,26h,,Module-6
FREQ-269,Task,Mobile Implementation for Integracao com Moodle,Task: Mobile Implementation,Low,To Do,Pedro Almeida,Joao Santos,EPIC-6,Sprint 6,,task mobile-implementation,2026-03-15,2026-03-30,26h,,Module-6
FREQ-270,Task,Unit Tests for Integracao com Moodle,Task: Unit Tests,Low,To Do,Rafael Lima,Joao Santos,EPIC-6,Sprint 6,,task unit-tests,2026-03-15,2026-03-30,15h,,Module-6
FREQ-271,Task,E2E Tests for Integracao com Moodle,Task: E2E Tests,Low,To Do,Rafael Lima,Joao Santos,EPIC-6,Sprint 6,,task e2e-tests,2026-03-15,2026-03-30,15h,,Module-6
FREQ-272,Task,Code Review for Integracao com Moodle,Task: Code Review,Low,To Do,Ana Oliveira,Joao Santos,EPIC-6,Sprint 6,,task code-review,2026-03-15,2026-03-30,4h,,Module-6
FREQ-273,Task,Documentation for Integracao com Moodle,Task: Documentation,Low,To Do,Joao Santos,Joao Santos,EPIC-6,Sprint 6,,task documentation,2026-03-15,2026-03-30,8h,,Module-6
FREQ-274,Story,Sincronizacao com SIA,User story: Sincronizacao com SIA,Low,To Do,Carlos Mendes,Maria Silva,EPIC-6,Sprint 6,13,sprint-6 epic-6,2026-03-07,2026-03-30,104h,,Module-6
FREQ-275,Task,Design UI/UX for Sincronizacao com SIA,Task: Design UI/UX,Low,To Do,Juliana Souza,Joao Santos,EPIC-6,Sprint 6,,task design-ui/ux,2026-03-08,2026-03-30,4h,,Module-6
FREQ-276,Task,Backend Implementation for Sincronizacao com SIA,Task: Backend Implementation,Low,To Do,Carlos Mendes,Joao Santos,EPIC-6,Sprint 6,,task backend-implementation,2026-03-08,2026-03-30,31h,,Module-6
FREQ-277,Task,Frontend Web Implementation for Sincronizacao com SIA,Task: Frontend Web Implementation,Low,To Do,Beatriz Costa,Joao Santos,EPIC-6,Sprint 6,,task frontend-web-implementation,2026-03-08,2026-03-30,26h,,Module-6
FREQ-278,Task,Mobile Implementation for Sincronizacao com SIA,Task: Mobile Implementation,Low,To Do,Pedro Almeida,Joao Santos,EPIC-6,Sprint 6,,task mobile-implementation,2026-03-08,2026-03-30,26h,,Module-6
FREQ-279,Task,Unit Tests for Sincronizacao com SIA,Task: Unit Tests,Low,To Do,Rafael Lima,Joao Santos,EPIC-6,Sprint 6,,task unit-tests,2026-03-08,2026-03-30,15h,,Module-6
FREQ-280,Task,E2E Tests for Sincronizacao com SIA,Task: E2E Tests,Low,To Do,Rafael Lima,Joao Santos,EPIC-6,Sprint 6,,task e2e-tests,2026-03-08,2026-03-30,15h,,Module-6
FREQ-281,Task,Code Review for Sincronizacao com SIA,Task: Code Review,Low,To Do,Ana Oliveira,Joao Santos,EPIC-6,Sprint 6,,task code-review,2026-03-08,2026-03-30,4h,,Module-6
FREQ-282,Task,Documentation for Sincronizacao com SIA,Task: Documentation,Low,To Do,Joao Santos,Joao Santos,EPIC-6,Sprint 6,,task documentation,2026-03-08,2026-03-30,8h,,Module-6
FREQ-283,Story,Webhook eventos de presenca,User story: Webhook eventos de presenca,Low,To Do,Beatriz Costa,Maria Silva,EPIC-6,Sprint 7,5,sprint-7 epic-6,2026-03-24,2026-04-13,40h,,Module-6
FREQ-284,Task,Design UI/UX for Webhook eventos de presenca,Task: Design UI/UX,Low,To Do,Juliana Souza,Joao Santos,EPIC-6,Sprint 7,,task design-ui/ux,2026-03-25,2026-04-13,4h,,Module-6
FREQ-285,Task,Backend Implementation for Webhook eventos de presenca,Task: Backend Implementation,Low,To Do,Carlos Mendes,Joao Santos,EPIC-6,Sprint 7,,task backend-implementation,2026-03-25,2026-04-13,12h,,Module-6
FREQ-286,Task,Frontend Web Implementation for Webhook eventos de presenca,Task: Frontend Web Implementation,Low,To Do,Beatriz Costa,Joao Santos,EPIC-6,Sprint 7,,task frontend-web-implementation,2026-03-25,2026-04-13,10h,,Module-6
FREQ-287,Task,Mobile Implementation for Webhook eventos de presenca,Task: Mobile Implementation,Low,To Do,Pedro Almeida,Joao Santos,EPIC-6,Sprint 7,,task mobile-implementation,2026-03-25,2026-04-13,10h,,Module-6
FREQ-288,Task,Unit Tests for Webhook eventos de presenca,Task: Unit Tests,Low,To Do,Rafael Lima,Joao Santos,EPIC-6,Sprint 7,,task unit-tests,2026-03-25,2026-04-13,6h,,Module-6
FREQ-289,Task,E2E Tests for Webhook eventos de presenca,Task: E2E Tests,Low,To Do,Rafael Lima,Joao Santos,EPIC-6,Sprint 7,,task e2e-tests,2026-03-25,2026-04-13,6h,,Module-6
FREQ-290,Task,Code Review for Webhook eventos de presenca,Task: Code Review,Low,To Do,Ana Oliveira,Joao Santos,EPIC-6,Sprint 7,,task code-review,2026-03-25,2026-04-13,4h,,Module-6
FREQ-291,Story,Export Google Sheets,User story: Export Google Sheets,Low,To Do,Beatriz Costa,Maria Silva,EPIC-6,Sprint 7,5,sprint-7 epic-6,2026-03-26,2026-04-13,40h,,Module-6
FREQ-292,Task,Design UI/UX for Export Google Sheets,Task: Design UI/UX,Low,To Do,Juliana Souza,Joao Santos,EPIC-6,Sprint 7,,task design-ui/ux,2026-03-27,2026-04-13,4h,,Module-6
FREQ-293,Task,Backend Implementation for Export Google Sheets,Task: Backend Implementation,Low,To Do,Carlos Mendes,Joao Santos,EPIC-6,Sprint 7,,task backend-implementation,2026-03-27,2026-04-13,12h,,Module-6
FREQ-294,Task,Frontend Web Implementation for Export Google Sheets,Task: Frontend Web Implementation,Low,To Do,Beatriz Costa,Joao Santos,EPIC-6,Sprint 7,,task frontend-web-implementation,2026-03-27,2026-04-13,10h,,Module-6
FREQ-295,Task,Mobile Implementation for Export Google Sheets,Task: Mobile Implementation,Low,To Do,Pedro Almeida,Joao Santos,EPIC-6,Sprint 7,,task mobile-implementation,2026-03-27,2026-04-13,10h,,Module-6
FREQ-296,Task,Unit Tests for Export Google Sheets,Task: Unit Tests,Low,To Do,Rafael Lima,Joao Santos,EPIC-6,Sprint 7,,task unit-tests,2026-03-27,2026-04-13,6h,,Module-6
FREQ-297,Task,E2E Tests for Export Google Sheets,Task: E2E Tests,Low,To Do,Rafael Lima,Joao Santos,EPIC-6,Sprint 7,,task e2e-tests,2026-03-27,2026-04-13,6h,,Module-6
FREQ-298,Task,Code Review for Export Google Sheets,Task: Code Review,Low,To Do,Ana Oliveira,Joao Santos,EPIC-6,Sprint 7,,task code-review,2026-03-27,2026-04-13,4h,,Module-6
FREQ-299,Bug,QR Code nao expira,Bug: QR Code nao expira,High,Done,Pedro Almeida,Rafael Lima,EPIC-2,Sprint 2,2,bug sprint-2,2026-01-21,2026-02-02,8h,6h,Module-2
FREQ-300,Bug,Crash login Google iOS,Bug: Crash login Google iOS,Highest,In Progress,Pedro Almeida,Rafael Lima,EPIC-1,Sprint 2,1,bug sprint-2,2026-01-21,2026-02-02,4h,3h,Module-1
FREQ-301,Bug,Geolocalizacao imprecisa,Bug: Geolocalizacao imprecisa,Medium,In Progress,Carlos Mendes,Rafael Lima,EPIC-2,Sprint 3,3,bug sprint-3,2026-02-04,2026-02-16,12h,9h,Module-2
FREQ-302,Bug,Dashboard lento com muitos dados,Bug: Dashboard lento com muitos dados,High,In Progress,Beatriz Costa,Rafael Lima,EPIC-4,Sprint 2,2,bug sprint-2,2026-01-27,2026-02-02,8h,6h,Module-4
FREQ-303,Bug,Push notification duplicada,Bug: Push notification duplicada,Medium,In Progress,Carlos Mendes,Rafael Lima,EPIC-5,Sprint 4,1,bug sprint-4,2026-02-19,2026-03-02,4h,3h,Module-5
FREQ-304,Bug,PDF corta texto longo,Bug: PDF corta texto longo,Low,In Progress,Beatriz Costa,Rafael Lima,EPIC-4,Sprint 2,1,bug sprint-2,2026-01-21,2026-02-02,4h,3h,Module-4
FREQ-305,Bug,Sync lenta Moodle,Bug: Sync lenta Moodle,Medium,Done,Carlos Mendes,Rafael Lima,EPIC-6,Sprint 3,3,bug sprint-3,2026-02-04,2026-02-16,12h,9h,Module-6
FREQ-306,Bug,Interface desalinhada tablets,Bug: Interface desalinhada tablets,Low,Done,Juliana Souza,Rafael Lima,EPIC-2,Sprint 3,2,bug sprint-3,2026-02-10,2026-02-16,8h,6h,Module-2
